id,external_id,sku,gtin,brand,name,variant,presentation,capacity_value,capacity_unit,pack_count,category_id,subcategory_id,alcohol_percentage,age_restricted,is_active,is_verified,price,regular_price,price_status,stock_status,image_master,image_thumbnail,image_rights_status,image_sha256,catalog_status
"red-bull-original-lata-250ml-pack-4","red-bull-original-lata-250ml-pack-4","red-bull-original-lata-250ml-pack-4","","Red Bull","Red Bull Energy Drink","Original","Lata · 250 ml · Pack x4","250","ml","4","energizantes","original","","false","false","false","","","pending","unavailable","assets/catalog/beverages/red-bull-original-lata-250ml-pack-4/product.webp","assets/catalog/beverages/red-bull-original-lata-250ml-pack-4/thumbnail.webp","pending_review","2510f4f923172d310cd678df3e4376b646ea59c06ba49f71be4914df4ee2c086","review_only"
"speed-original-lata-473ml","speed-original-lata-473ml","speed-original-lata-473ml","","Speed","Speed Unlimited","Original","Lata · 473 ml · Unidad","473","ml","1","energizantes","original","","false","true","false","2925","","confirmed","confirmation_required","assets/catalog/beverages/speed-original-lata-473ml/product.webp","assets/catalog/beverages/speed-original-lata-473ml/thumbnail.webp","pending_review","4e009cb3351fcf747d92fa02683010947fffad8b465aedc9cab3def14b3c8308","review_only"
"speed-zero-lata-473ml","speed-zero-lata-473ml","speed-zero-lata-473ml","","Speed","Speed Unlimited","Zero Sugar","Lata · 473 ml · Unidad","473","ml","1","energizantes","sin-azucar","","false","true","false","2925","","confirmed","confirmation_required","assets/catalog/beverages/speed-zero-lata-473ml/product.webp","assets/catalog/beverages/speed-zero-lata-473ml/thumbnail.webp","pending_review","ef7a5d8a4db3a52d0390f8948b07f4b0ab9e12311cf89265df6d3565ec3b9a6c","review_only"
"monster-mango-loco-lata-473ml","monster-mango-loco-lata-473ml","monster-mango-loco-lata-473ml","","Monster","Monster Mango Loco","Mango Loco","Lata · 473 ml · Unidad","473","ml","1","energizantes","juice-monster","","false","true","false","3390","","confirmed","confirmation_required","assets/catalog/beverages/monster-mango-loco-lata-473ml/product.webp","assets/catalog/beverages/monster-mango-loco-lata-473ml/thumbnail.webp","pending_review","35f4bdbd38d7ffb3de23343075a4d6de83baba0bf02a2fb5e6447d0c596201f9","review_only"
"heineken-original-lata-473ml","heineken-original-lata-473ml","heineken-original-lata-473ml","","Heineken","Heineken","Original","Lata · 473 ml · Unidad","473","ml","1","cervezas","lager","","true","true","false","3900","","confirmed","confirmation_required","assets/catalog/beverages/heineken-original-lata-473ml/product.webp","assets/catalog/beverages/heineken-original-lata-473ml/thumbnail.webp","pending_review","ef3789546e789f47524a39d718ac84690dd1d11c7169a24e3d2963bba4c326b2","review_only"
"heineken-original-lata-473ml-pack-6","heineken-original-lata-473ml-pack-6","heineken-original-lata-473ml-pack-6","","Heineken","Heineken","Original","Lata · 473 ml · Pack x6","473","ml","6","cervezas","lager","","true","false","false","","","rejected","unavailable","assets/catalog/beverages/heineken-original-lata-473ml-pack-6/product.webp","assets/catalog/beverages/heineken-original-lata-473ml-pack-6/thumbnail.webp","pending_review","ef3789546e789f47524a39d718ac84690dd1d11c7169a24e3d2963bba4c326b2","rejected"
"imperial-golden-lata-473ml","imperial-golden-lata-473ml","imperial-golden-lata-473ml","","Imperial","Imperial Golden","Golden","Lata · 473 ml · Unidad","473","ml","1","cervezas","lager","","true","true","false","3000","","confirmed","confirmation_required","assets/catalog/beverages/imperial-golden-lata-473ml/product.webp","assets/catalog/beverages/imperial-golden-lata-473ml/thumbnail.webp","pending_review","c05f6df16930fd0ac4ce9fb8cf2a3391379bcf9a729ef116b1c2060781ffc532","review_only"
"imperial-extra-lager-lata-473ml","imperial-extra-lager-lata-473ml","imperial-extra-lager-lata-473ml","","Imperial","Imperial Extra Lager","Extra Lager","Lata · 473 ml · Unidad","473","ml","1","cervezas","lager","","true","true","false","3000","","confirmed","confirmation_required","assets/catalog/beverages/imperial-extra-lager-lata-473ml/product.webp","assets/catalog/beverages/imperial-extra-lager-lata-473ml/thumbnail.webp","pending_review","9e752cb4d310190d33c4dab7dcb30f99f2e8b6dc8708a79cccb505b2e6786664","review_only"
"imperial-apa-lata-473ml","imperial-apa-lata-473ml","imperial-apa-lata-473ml","","Imperial","Imperial APA","APA","Lata · 473 ml · Unidad","473","ml","1","cervezas","apa","","true","true","false","3000","","confirmed","confirmation_required","assets/catalog/beverages/imperial-apa-lata-473ml/product.webp","assets/catalog/beverages/imperial-apa-lata-473ml/thumbnail.webp","pending_review","97237bc8b45d562d3d25efa7669a146dbccd8d4a0e8e76fa3210f68ea36cae68","review_only"
"imperial-cream-stout-lata-473ml","imperial-cream-stout-lata-473ml","imperial-cream-stout-lata-473ml","","Imperial","Imperial Cream Stout","Cream Stout","Lata · 473 ml · Unidad","473","ml","1","cervezas","stout","","true","true","false","3000","","confirmed","confirmation_required","assets/catalog/beverages/imperial-cream-stout-lata-473ml/product.webp","assets/catalog/beverages/imperial-cream-stout-lata-473ml/thumbnail.webp","pending_review","5713d8684b7243984b388c93d4ba7b96bea5e453a113d97877c2e9c281c3182b","review_only"
"schneider-rubia-lata-710ml","schneider-rubia-lata-710ml","schneider-rubia-lata-710ml","","Schneider","Schneider Rubia","Rubia","Lata · 710 ml · Unidad","710","ml","1","cervezas","lager","","true","true","false","3500","","confirmed","confirmation_required","assets/catalog/beverages/schneider-rubia-lata-710ml/product.webp","assets/catalog/beverages/schneider-rubia-lata-710ml/thumbnail.webp","pending_review","c9908164a74d2697f44976dce054f0dbdb91ebfabecedba3af964b181429f798","review_only"
"corona-extra-botella-330ml","corona-extra-botella-330ml","corona-extra-botella-330ml","","Corona","Corona Extra","Extra","Botella · 330 ml · Unidad","330","ml","1","cervezas","lager","","true","true","false","3600","","confirmed","confirmation_required","assets/catalog/beverages/corona-extra-botella-330ml/product.webp","assets/catalog/beverages/corona-extra-botella-330ml/thumbnail.webp","pending_review","eb14789fc9ba2b5e2ca408cd6c4de35a8cfc7241d7e17fcd89b13182e9f544c8","review_only"
